module_category	original_path	new_path	file_type	action	reason
qc	/data03/karama/soybean_gwas/workflow/genetics.yaml		.yaml	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/run_part1_plink_pca.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/genotype_QC.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/population_structure.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/prepare_gwas_input.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/gemma.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/gemmabfile.sh		.sh	copy	reusable script
ld_analysis	/data03/karama/soybean_gwas/workflow/soybean_hist.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/gemma_oil_size.sh		.sh	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/gemma_size.sh		.sh	copy	reusable script
workflows	/data03/karama/soybean_gwas/workflow/sample_ids.txt		.txt	copy	configuration/template file
workflows	/data03/karama/soybean_gwas/workflow/size_values.txt		.txt	skip	data file
workflows	/data03/karama/soybean_gwas/workflow/oil_values.txt		.txt	skip	data file
workflows	/data03/karama/soybean_gwas/workflow/actual_ids.txt		.txt	skip	data file
workflows	/data03/karama/soybean_gwas/workflow/size_val.txt		.txt	skip	data file
workflows	/data03/karama/soybean_gwas/workflow/oil_val.txt		.txt	skip	data file
workflows	/data03/karama/soybean_gwas/workflow/iid_only.txt		.txt	skip	data file
association	/data03/karama/soybean_gwas/workflow/gsmr_input_list.txt		.txt	copy	configuration/template file
qc	/data03/karama/soybean_gwas/workflow/Plink_QC.sh		.sh	copy	reusable script
significant_snps	/data03/karama/soybean_gwas/workflow/phenotype_analyze.py		.py	copy	reusable script
covariates	/data03/karama/soybean_gwas/workflow/pca_cov.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/pheno_subgroup.py		.py	copy	reusable script
covariates	/data03/karama/soybean_gwas/workflow/phenotype_statistics.py		.py	copy	reusable script
qc	/data03/karama/soybean_gwas/workflow/phase1_phenotype_correlation.py		.py	copy	reusable script
association	/data03/karama/soybean_gwas/workflow/correlation_summary_global.txt		.txt	skip	data file
association	/data03/karama/soybean_gwas/workflow/phenotype_enhanced_functions.py		.py	copy	reusable script
